#Top: ios   Floorplan: io_1   Part: xc7a35tfgg484-1,,,,,,,,,,,,
#Generated by: kremerme   on: Mon Mar  8 10:36:28 2021,,,,,,,,,,,,
#Build: Vivado v2020.2   by: xbuild   on: Wed Nov 18 09:12:47 MST 2020,,,,,,,,,,,,
#Package Version: FINAL 2013-11-27,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2013-11-27,,,,,down 100,,,,,,,
,,,,maybe,maybe,,,,,,,
IO Bank,LEAD,Pin Name,Pin Number,"X, pos","Y, Pos",const,"U,D,L,R",const,const,sheet?,const,type
14,X,IO_L22N_T3_A04_D20_14,R16,500,-4400,100,L,50,50,4,0,I
14,X,IO_L23P_T3_A03_D19_14,N13,500,-4500,100,L,50,50,4,0,I
14,X,IO_L23N_T3_A02_D18_14,N14,500,-4600,100,L,50,50,4,0,I
14,X,IO_L24P_T3_A01_D17_14,P16,500,-4700,100,L,50,50,4,0,I
14,X,IO_L24N_T3_A00_D16_14,R17,500,-4800,100,L,50,50,4,0,I
14,X,IO_25_14,N15,500,-4900,100,L,50,50,4,0,I
14,X,VCCO_14,M14,500,-5000,100,D,50,50,4,0,W
14,X,VCCO_14,P18,500,-5100,100,D,50,50,4,0,W
14,X,VCCO_14,R15,500,-5200,100,D,50,50,4,0,W
14,X,VCCO_14,T22,500,-5300,100,D,50,50,4,0,W
14,X,VCCO_14,U19,500,-5400,100,D,50,50,4,0,W
14,X,VCCO_14,Y20,500,-5500,100,D,50,50,4,0,W
15,X,IO_0_15,J16,500,0,100,L,50,50,5,0,I
15,X,IO_L1P_T0_AD0P_15,H13,500,-100,100,L,50,50,5,0,I
15,X,IO_L1N_T0_AD0N_15,G13,500,-200,100,L,50,50,5,0,I
15,X,IO_L2P_T0_AD8P_15,G15,500,-300,100,L,50,50,5,0,I
15,X,IO_L2N_T0_AD8N_15,G16,500,-400,100,L,50,50,5,0,I
15,X,IO_L3P_T0_DQS_AD1P_15,J14,500,-500,100,L,50,50,5,0,I
15,X,IO_L3N_T0_DQS_AD1N_15,H14,500,-600,100,L,50,50,5,0,I
15,X,IO_L4P_T0_15,G17,500,-700,100,L,50,50,5,0,I
15,X,IO_L4N_T0_15,G18,500,-800,100,L,50,50,5,0,I
15,X,IO_L5P_T0_AD9P_15,J15,500,-900,100,L,50,50,5,0,I
15,X,IO_L5N_T0_AD9N_15,H15,500,-1000,100,L,50,50,5,0,I
15,X,IO_L6P_T0_15,H17,500,-1100,100,L,50,50,5,0,I
15,X,IO_L6N_T0_VREF_15,H18,500,-1200,100,L,50,50,5,0,I
15,X,IO_L7P_T1_AD2P_15,J22,500,-1300,100,L,50,50,5,0,I
15,X,IO_L7N_T1_AD2N_15,H22,500,-1400,100,L,50,50,5,0,I
15,X,IO_L8P_T1_AD10P_15,H20,500,-1500,100,L,50,50,5,0,I
15,X,IO_L8N_T1_AD10N_15,G20,500,-1600,100,L,50,50,5,0,I
15,X,IO_L9P_T1_DQS_AD3P_15,K21,500,-1700,100,L,50,50,5,0,I
15,X,IO_L9N_T1_DQS_AD3N_15,K22,500,-1800,100,L,50,50,5,0,I
15,X,IO_L10P_T1_AD11P_15,M21,500,-1900,100,L,50,50,5,0,I
15,X,IO_L10N_T1_AD11N_15,L21,500,-2000,100,L,50,50,5,0,I
15,X,IO_L11P_T1_SRCC_15,J20,500,-2100,100,L,50,50,5,0,I
15,X,IO_L11N_T1_SRCC_15,J21,500,-2200,100,L,50,50,5,0,I
15,X,IO_L12P_T1_MRCC_15,J19,500,-2300,100,L,50,50,5,0,I
15,X,IO_L12N_T1_MRCC_15,H19,500,-2400,100,L,50,50,5,0,I
15,X,IO_L13P_T2_MRCC_15,K18,500,-2500,100,L,50,50,5,0,I
15,X,IO_L13N_T2_MRCC_15,K19,500,-2600,100,L,50,50,5,0,I
15,X,IO_L14P_T2_SRCC_15,L19,500,-2700,100,L,50,50,5,0,I
15,X,IO_L14N_T2_SRCC_15,L20,500,-2800,100,L,50,50,5,0,I
15,X,IO_L15P_T2_DQS_15,N22,500,-2900,100,L,50,50,5,0,I
15,X,IO_L15N_T2_DQS_ADV_B_15,M22,500,-3000,100,L,50,50,5,0,I
